gen,diversity
0,0.7514494243421053
1,0.6712479440789474
2,0.6287417763157894
3,0.36969572368421055
4,0.11892475328947369
5,0.03978207236842105
6,0.03843544407894737
7,0.04410978618421053
8,0.054666940789473685
9,0.06099917763157895
10,0.07358141447368421
11,0.06964432565789473
12,0.06625205592105263
13,0.06316817434210527
14,0.08159950657894736
15,0.07824835526315789
16,0.08519736842105263
17,0.08174342105263158
18,0.06973684210526315
19,0.05869654605263158
20,0.05047286184210526
21,0.05054481907894737
22,0.04144736842105263
23,0.03333675986842105
24,0.03217516447368421
25,0.028741776315789475
26,0.028114720394736843
27,0.022933799342105262
28,0.018482730263157894
29,0.020240542763157895
30,0.015892269736842105
