gen,max,mean,std
0,7.02265,2.7358711,1.7236000799762945
1,7.02265,4.6005354999999994,1.6468047965665966
2,9.35262,5.027507,1.9361615796108032
3,9.35262,6.4145319999999995,1.6548034243728162
4,9.35262,7.035414000000001,0.8432521228399013
5,10.1298,7.356873499999999,0.7190201253391659
6,8.48113,7.6418475,0.3941620676558692
7,9.87501,7.989014500000001,0.5290288416946188
8,10.8315,8.229885500000002,0.783268071668155
9,10.8315,8.609358000000002,0.8552006550254743
10,10.3083,9.036865500000001,0.8160095597263243
11,11.8098,9.729551500000001,0.8057237044004286
12,13.9445,10.391295500000002,1.0358331669408687
13,12.4282,11.036963499999999,0.6729747828208348
14,13.9792,11.8794535,1.0708000182026287
15,14.8826,12.887640999999999,1.75094749839594
16,16.4732,13.542467499999997,1.748894796884235
17,16.2201,14.466770000000002,0.8949347323129211
18,17.4064,15.377855000000006,0.699169133668671
19,20.3456,16.794680000000003,1.8432510880506758
20,21.2301,19.525109999999998,1.2150539016438735
21,21.2301,20.340505,1.479648307698488
22,22.1211,20.95402,1.2761881764065985
23,22.1211,21.47456,0.4656568279323304
24,22.6096,21.581479999999996,0.42184890968212785
25,22.6096,21.956840000000003,0.2928804780110821
26,23.746,22.35139,0.5539565036173866
27,23.746,22.785394999999998,0.480101940711553
28,24.5248,23.131174999999995,0.5646379555741889
29,24.6642,23.349614999999996,1.1759327830598996
30,24.7167,23.823584999999998,0.6284698793697282
